Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners,Time to Activation
Region C,Country 16,2022-01-13,0016R0000378nrL,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrp,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrQ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nru,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrV,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrz,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ns4,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ns9,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nsd,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nsE,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nsJ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nsO,Onboarding,,Basic,,1.3,
