Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners,Time to Activation
Region C,Country 16,2022-01-13,0016R0000378n62,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6b,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6g,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6H,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6l,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6M,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6q,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6R,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6v,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n6W,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n70,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n75,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378n7A,Active,2022-01-13,Basic,2021-12-21,1.0,0 days
Region C,Country 16,2022-01-10,0016R0000378N91,Active,2022-01-11,Basic,2022-01-14,3.0,1 days
Region B,Country 9,2022-01-13,0016R0000378nA7,Onboarding,,Basic,,0.0,
Region A,Country 1,2022-01-13,0016R0000378naA,Active,2022-01-13,Basic,,1.3,0 days
Region C,Country 3,2022-01-13,0016R0000378nAc,Active,2022-01-13,Basic,2022-01-13,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nal,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nBA,Active,2022-01-14,Basic,,1.0,1 days
Region C,Country 16,2022-01-13,0016R0000378nbc,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbD,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbh,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbI,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region A,Country 21,2022-01-08,0016R0000378NBk,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nbm,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbr,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbS,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbs,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nbw,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nbx,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nc1,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nc6,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378ncB,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378ncG,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nch,Onboarding,,Basic,,1.3,
Region A,Country 6,2022-01-09,0016R0000378NCJ,Active,2022-01-14,Basic,,1.3,5 days
Region C,Country 16,2022-01-14,0016R0000378ncp,Onboarding,,Basic,,1.0,
Region C,Country 16,2022-01-13,0016R0000378ndo,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ndQ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nds,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ndU,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ndx,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ndZ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ne2,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ne7,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neb,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neg,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neH,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neI,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nel,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neM,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neq,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nev,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378new,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neW,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nex,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378neX,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nf0,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nf5,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfa,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfA,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfB,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfe,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nff,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfF,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfj,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfK,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfo,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfp,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nft,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfU,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfy,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nfZ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ng3,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ng8,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nGA,Active,2022-01-13,Basic,2022-01-13,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378ngc,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngD,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngh,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngI,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngm,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngN,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngS,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngw,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ngX,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nh1,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nh6,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nh7,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nh8,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhB,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhC,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhG,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nHh,Active,2022-01-13,Basic,2022-01-13,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nhH,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhk,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhL,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhM,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhN,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhp,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhQ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhu,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhV,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhW,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nhz,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ni4,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378ni9,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nid,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378niE,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378niF,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nii,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378niJ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nin,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378niO,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nis,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378niT,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nix,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378niY,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nj2,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nj3,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nj7,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njb,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njc,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njC,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njd,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njD,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nje,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njg,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njH,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njl,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njM,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njm,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njq,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njr,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njR,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njv,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378njW,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nk0,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nk5,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkA,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nke,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkF,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkG,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkj,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkK,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkk,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkP,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkt,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkU,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkV,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nky,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nkZ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nl3,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nl8,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlc,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlD,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlh,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlm,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlN,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlO,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlr,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nls,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlS,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlw,Onboarding,,Basic,,1.3,
